Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),CrisisSeverity,MitigationEfforts,Policy,Investment (Million USD),Regulations,consumption_rainfall_ratio,investment_consumption_ratio,groundwater_stress,usage_balance,water_stress_index
Argentina,2014,558.1611111,314.2377778,50.90888889,24.63111111,25.77444444,1912.69,2.444444444,2,Moderate conservation policies,Water conservation policy level 2,5581.61,"Agriculture, Industry, Household",0.2918199557168176,9.999998009535279,768.1367900381166,101.31444443999999,79.24938292517585
Argentina,2015,565.115,288.1383333,49.5,22.815,28.52666667,1782.6,2.616666667,2,Moderate conservation policies,Water conservation policy level 2,5651.15,"Agriculture, Industry, Household",0.3170172781330641,10.0,753.9619722310462,100.84166667,77.92005965265265
Argentina,2016,467.3180952,322.0538095,49.36190476,28.40238095,22.30761905,1730.01,2.642857143,2,Moderate conservation policies,Water conservation policy level 2,4673.18,"Agriculture, Industry, Household",0.2701245051762707,9.999997962843704,851.1422108674362,100.07190476,86.68040151946711
Argentina,2017,477.1978947,265.23,56.49263158,29.68,24.35473684,1665.009474,2.666315789,2,Moderate conservation policies,Water conservation policy level 2,4771.98,"Agriculture, Industry, Household",0.28660371136122437,10.000002206631695,707.1869367164701,110.52736842,74.54552221393811
Argentina,2018,649.13,281.832,54.83,21.261,25.314,1449.102,2.264,2,Moderate conservation policies,Water conservation policy level 2,6491.3,"Agriculture, Industry, Household",0.4479532841718526,10.0,638.067648,101.405,67.44732738947016
Argentina,2019,484.1566667,268.4022222,55.63555556,34.48444444,26.71888889,1630.764444,2.208888889,2,Moderate conservation policies,Water conservation policy level 2,4841.57,"Agriculture, Industry, Household",0.29688939348741405,10.0000068841353,592.870686400489,116.83888889,64.72781991717332
Argentina,2020,582.008,289.554,66.52,28.876,29.846,1455.684,2.092,2,Moderate conservation policies,Water conservation policy level 2,5820.08,"Agriculture, Industry, Household",0.39981754281835896,10.0,605.7469679999999,125.242,66.67170777661984
Argentina,2021,432.4683333,260.575,52.6775,29.44083333,22.13,2076.763333,2.673333333,2,Moderate conservation policies,Water conservation policy level 2,4324.68,"Agriculture, Industry, Household",0.2082415104446569,9.999992293077336,696.603833246475,104.24833333,73.00554279409019
Argentina,2022,523.8810526,296.7405263,48.51842105,28.50631579,28.09473684,1160.576316,3.015789474,2,Moderate conservation policies,Water conservation policy level 2,5238.81,"Agriculture, Industry, Household",0.45139733197864085,9.99999899595529,894.9069557247601,105.11947368,91.13435620360973
Argentina,2023,556.765,265.325,40.842,26.099,29.272,1701.795,2.13,2,Moderate conservation policies,Water conservation policy level 2,5567.65,"Agriculture, Industry, Household",0.32716337749258867,10.0,565.14225,96.213,60.334764852499326
Argentina,2024,647.79,364.3828571,51.20142857,34.14285714,23.52285714,2283.157143,2.285714286,2,Moderate conservation policies,Water conservation policy level 2,6477.9,"Agriculture, Industry, Household",0.2837255429334239,10.0,832.8751020469666,108.86714285,85.82054276726363
Australia,2000,545.04,296.13,54.66375,32.665,21.75625,1549.73125,2.36625,2,Moderate conservation policies,Water conservation policy level 2,5450.4,"Agriculture, Industry, Household",0.3516996898655815,10.0,700.7176125,109.08500000000001,73.83221019907869
Australia,2001,448.229,247.556,46.922,23.326,26.132,1554.3,2.698,2,Moderate conservation policies,Water conservation policy level 2,4482.29,"Agriculture, Industry, Household",0.28837997812520105,10.0,667.9060880000001,96.38,69.68858799801139
Australia,2002,488.0033333,236.6966667,58.88666667,25.145,26.34166667,1457.325,2.206666667,2,Moderate conservation policies,Water conservation policy level 2,4880.03,"Agriculture, Industry, Household",0.3348623905443192,9.999993170128619,522.3106445968989,110.37333333999999,57.729021328112175
Australia,2003,540.81,275.3416667,48.9825,32.625,23.8275,1721.613333,3.324166667,2,Moderate conservation policies,Water conservation policy level 2,5408.1,"Agriculture, Industry, Household",0.3141297698116746,10.000000000000002,915.281590480364,105.435,93.00279275001594
Australia,2004,503.8664286,261.0157143,51.07142857,27.65071429,26.55857143,1931.437143,2.214285714,2,Moderate conservation policies,Water conservation policy level 2,5038.66,"Agriculture, Industry, Household",0.2608764310172531,9.999991493777404,577.9633673039955,105.28071429,62.31868073832572
Australia,2005,503.61,255.9045455,53.11545455,30.74727273,22.64363636,1392.708182,2.252727273,2,Moderate conservation policies,Water conservation policy level 2,5036.1,"Agriculture, Industry, Household",0.36160482612860817,10.0,576.4831489325195,106.50636364,62.304647036240745
Australia,2006,438.3757143,279.7478571,48.02642857,32.05928571,26.485,1300.371429,2.282857143,2,Moderate conservation policies,Water conservation policy level 2,4383.76,"Agriculture, Industry, Household",0.33711576902079105,10.000006517240593,638.6243938196783,106.57071427999999,67.95743463397704
Australia,2007,376.92375,228.62125,53.56125,27.13625,29.6725,1529.41,3.19875,2,Moderate conservation policies,Water conservation policy level 2,3769.24,"Agriculture, Industry, Household",0.24645042859664837,10.000006632641217,731.3022234375001,110.37,76.71983318281536
Australia,2008,511.38,238.47,55.68461538,23.33230769,26.02846154,1611.926923,2.011538462,2,Moderate conservation policies,Water conservation policy level 2,5113.8,"Agriculture, Industry, Household",0.3172476324474171,10.0,479.69157703314,105.04538460999999,53.36856447959885
Australia,2009,442.79875,258.61625,47.38875,25.6975,26.46625,980.3125,2.75375,2,Moderate conservation policies,Water conservation policy level 2,4427.99,"Agriculture, Industry, Household",0.4516914249282754,10.00000564590573,712.1644984375,99.55250000000001,74.01529745263966
Australia,2010,556.146,235.882,43.208,25.952,27.277,1605.123,3.443,2,Moderate conservation policies,Water conservation policy level 2,5561.46,"Agriculture, Industry, Household",0.34648185839963663,10.0,812.1417260000001,96.437,82.81138253258179
Australia,2011,467.7744444,281.5111111,52.68222222,30.69777778,22.74777778,1955.788889,2.916666667,2,Moderate conservation policies,Water conservation policy level 2,4677.74,"Agriculture, Industry, Household",0.23917430302979906,9.999990499694771,821.0740741355037,106.12777778,84.49471172218955
Australia,2012,498.1664706,265.8988235,55.87176471,26.75352941,24.42,1286.410588,2.429411765,2,Moderate conservation policies,Water conservation policy level 2,4981.66,"Agriculture, Industry, Household",0.3872530864150506,9.999990553358609,645.9777301105584,107.04529412000001,68.67372055027131
Australia,2013,426.5841667,258.6558333,53.82833333,32.01416667,20.19083333,1619.6325,2.85,2,Moderate conservation policies,Water conservation policy level 2,4265.84,"Agriculture, Industry, Household",0.26338330868267956,9.999996092213143,737.169124905,106.03333333,76.86055835439659
Australia,2014,538.1064286,290.0314286,60.51285714,28.47571429,22.62214286,1414.902857,2.522857143,2,Moderate conservation policies,Water conservation policy level 2,5381.06,"Agriculture, Industry, Household",0.3803133380767496,9.999992035032902,731.7078613380046,111.61071429,76.88177284789751
Australia,2015,521.4066667,286.9333333,65.12444444,32.24444444,24.15111111,1394.204444,3.284444444,2,Moderate conservation policies,Water conservation policy level 2,5214.07,"Agriculture, Industry, Household",0.37398149815393933,10.00000639232333,942.4165923555853,121.51999999000002,96.93726856267054
Australia,2016,446.722,261.3993333,59.50533333,25.97133333,23.10933333,1370.126,2.992,2,Moderate conservation policies,Water conservation policy level 2,4467.22,"Agriculture, Industry, Household",0.3260444659834205,10.000000000000002,782.1068052336001,108.58599999,81.18353178996212
Australia,2017,626.71625,314.8475,55.92,31.86375,24.64375,1009.385,2.37375,2,Moderate conservation policies,Water conservation policy level 2,6267.16,"Agriculture, Industry, Household",0.6208892048128315,9.999996010953922,747.369253125,112.4275,78.40163227977605
Australia,2018,603.2993333,288.7166667,56.09066667,34.11,25.41866667,1299.113333,2.625333333,2,Moderate conservation policies,Water conservation policy level 2,6032.99,"Agriculture, Industry, Household",0.4643931502933778,9.999994475379276,757.9774888801611,115.61933334,79.6419686692841
Australia,2019,548.0716667,299.96,40.895,24.34,21.91833333,1457.06,2.598333333,2,Moderate conservation policies,Water conservation policy level 2,5480.72,"Agriculture, Industry, Household",0.37614900326685247,10.000006081321482,779.3960665666799,87.15333333,78.99318804699776
Australia,2020,484.79875,292.505,48.47375,23.68,27.54625,1549.61875,2.38,2,Moderate conservation policies,Water conservation policy level 2,4847.99,"Agriculture, Industry, Household",0.31285033818802205,10.000005156778972,696.1619,99.7,72.5613069232333
Australia,2021,659.4511111,288.9488889,41.39111111,25.62333333,26.46444444,1640.824444,2.012222222,2,Moderate conservation policies,Water conservation policy level 2,6594.51,"Agriculture, Industry, Household",0.4019022958314729,9.999998315265557,581.4293752667892,93.47888888,61.573660925262544
Australia,2022,477.698125,298.385,53.025625,25.974375,25.078125,1411.735625,2.84875,2,Moderate conservation policies,Water conservation policy level 2,4776.98,"Agriculture, Industry, Household",0.3383764754112513,9.999997383284683,850.0242687499999,104.078125,86.94918161333332
Australia,2023,207.795,322.3866667,59.68833333,40.56833333,30.145,1297.586667,2.51,2,Moderate conservation policies,Water conservation policy level 2,2077.95,"Agriculture, Industry, Household",0.1601395924330964,10.0,809.1905334169999,130.40166666000002,85.61384906085755
Australia,2024,644.005,253.959,55.513,29.457,26.868,1535.133,1.656,1,Moderate conservation policies,Water conservation policy level 1,6440.05,"Agriculture, Industry, Household",0.4195108827704179,10.0,420.556104,111.838,48.528510443888216
Brazil,2000,535.3028571,254.0585714,48.39285714,21.06285714,25.73428571,1835.337143,2.567142857,2,Moderate conservation policies,Water conservation policy level 2,5353.03,"Agriculture, Industry, Household",0.29166459096719755,10.000002669516856,652.2046468291345,95.18999998999999,68.15328449761455
Brazil,2001,639.0090909,200.5309091,54.66181818,34.16727273,21.84545455,1524.764545,2.799090909,2,Moderate conservation policies,Water conservation policy level 2,6390.09,"Agriculture, Industry, Household",0.4190870603565877,9.999998577485027,561.3042446353153,110.67454545999999,61.30890585168258
Brazil,2002,433.875,286.586,54.407,24.681,23.399,2000.491,2.383,2,Moderate conservation policies,Water conservation policy level 2,4338.75,"Agriculture, Industry, Household",0.21688425491541827,10.0,682.934438,102.487,71.60348384135594
Brazil,2003,613.36,346.6015385,55.85,30.47230769,27.44769231,1511.286923,2.877692308,2,Moderate conservation policies,Water conservation policy level 2,6133.6,"Agriculture, Industry, Household",0.40585278061060814,10.0,997.4125812824158,113.77000000000001,101.23531218754785
Brazil,2004,511.8836364,248.6281818,51.44727273,32.37363636,22.47090909,1641.064545,2.613636364,2,Moderate conservation policies,Water conservation policy level 2,5118.84,"Agriculture, Industry, Household",0.3119216961694825,10.000007103176857,649.8236570676829,106.29181818,68.94790065406548
Brazil,2005,560.6266667,274.1866667,47.74222222,26.63222222,19.81555556,1706.97,2.675555556,2,Moderate conservation policies,Water conservation policy level 2,5606.27,"Agriculture, Industry, Household",0.3284338135409527,10.000005945132829,733.6016594703051,94.19,75.46542223926244
Brazil,2006,781.3428571,236.87,50.32571429,36.27,27.44428571,1818.135714,2.331428571,2,Moderate conservation policies,Water conservation policy level 2,7813.43,"Agriculture, Industry, Household",0.4297494686912024,10.000001828902622,552.24548561277,114.04,60.79228399075396
Brazil,2007,642.8583333,285.6816667,52.52,26.15333333,17.37666667,1863.853333,2.211666667,2,Moderate conservation policies,Water conservation policy level 2,6428.58,"Agriculture, Industry, Household",0.3449082188593001,9.999994815342934,631.8326196133938,96.05000000000001,66.38435200112299
Brazil,2008,665.5016667,273.875,42.34,28.61333333,23.34333333,1356.306667,2.853333333,2,Moderate conservation policies,Water conservation policy level 2,6655.02,"Agriculture, Industry, Household",0.49067197182774,10.000005008251922,781.456666575375,94.29666666,79.84032775879345
Brazil,2009,498.7066667,278.9455556,53.11,27.85666667,26.01222222,1459.541111,2.817777778,2,Moderate conservation policies,Water conservation policy level 2,4987.07,"Agriculture, Industry, Household",0.34168730359250565,10.000006683287435,786.0065878415434,106.97888889,81.39332909637476
Brazil,2010,337.0366667,230.1077778,55.20888889,21.98555556,25.16111111,1933.672222,1.643333333,1,Moderate conservation policies,Water conservation policy level 1,3370.37,"Agriculture, Industry, Household",0.17429875801360092,10.000009889131745,378.1437814412974,102.35555556,43.788472975393894
Brazil,2011,483.5825,266.6833333,47.615,25.46833333,28.005,1403.941667,2.779166667,2,Moderate conservation policies,Water conservation policy level 2,4835.82,"Agriculture, Industry, Household",0.34444629101530894,9.999989660502603,741.1574305518112,101.08833333,76.78100036816181
Brazil,2012,469.025,331.6375,36.3725,22.0175,25.9475,1650.935,2.2375,2,Moderate conservation policies,Water conservation policy level 2,4690.25,"Industry, Household",0.2840965876912174,10.0,742.03890625,84.3375,75.33277298524466
Brazil,2013,562.74125,197.11875,47.295,18.0575,27.91625,1699.57875,2.78375,2,Moderate conservation policies,Water conservation policy level 2,5627.41,"Agriculture, Industry, Household",0.33110631090203974,9.99999555746091,548.7293203125,93.26875000000001,58.5754033497201
Brazil,2014,559.112,317.394,58.716,28.48133333,27.96533333,1647.265333,2.271333333,2,Moderate conservation policies,Water conservation policy level 2,5591.12,"Agriculture, Industry, Household",0.3394183006217614,10.0,720.907571894202,115.16266665999999,76.21905971407489
Brazil,2015,574.5815385,348.3384615,47.07307692,33.68461538,22.42307692,1569.433077,1.808461538,1,Moderate conservation policies,Water conservation policy level 1,5745.82,"Agriculture, Industry, Household",0.36610770278801763,10.00000803193227,629.9567098288437,103.18076922,66.77300458503467
Brazil,2016,501.7923077,289.3046154,50.24923077,28.60307692,27.30692308,2017.038462,3.008461538,2,Moderate conservation policies,Water conservation policy level 2,5017.92,"Agriculture, Industry, Household",0.24877676710361113,9.99999386798093,870.3618081967825,106.15923077000001,88.97912375959727
Brazil,2017,574.563,292.3,45.357,27.285,26.176,1338.94,2.189,2,Moderate conservation policies,Water conservation policy level 2,5745.63,"Agriculture, Industry, Household",0.42911780961058743,10.0,639.8447,98.818,67.37198343723732
Brazil,2018,287.1566667,248.6733333,42.20833333,26.99833333,27.89,1074.935,2.69,2,Moderate conservation policies,Water conservation policy level 2,2871.57,"Agriculture, Industry, Household",0.26713863321968306,10.000011606904476,668.931266577,97.09666666,69.84493283515965
Brazil,2019,497.8663636,228.5627273,60.82818182,25.43727273,24.23727273,1452.016364,2.879090909,2,Moderate conservation policies,Water conservation policy level 2,4978.66,"Agriculture, Industry, Household",0.3428793062830799,9.999992696835404,658.0528703056762,110.50272728,70.08172624639465
Brazil,2020,553.0541176,261.3735294,47.09529412,29.15352941,27.90882353,1771.814706,2.653529412,2,Moderate conservation policies,Water conservation policy level 2,5530.54,"Agriculture, Industry, Household",0.3121399296027742,9.999997873625812,693.5623477811467,104.15764705999999,72.73020812930788
Brazil,2021,457.14,264.78125,45.7425,27.22,21.1825,1620.69375,2.27875,2,Moderate conservation policies,Water conservation policy level 2,4571.4,"Agriculture, Industry, Household",0.28206439372028186,10.0,603.3702734375,94.14500000000001,63.61793980283821
Brazil,2022,417.748,289.605,53.949,22.364,24.084,1606.203,2.56,2,Moderate conservation policies,Water conservation policy level 2,4177.48,"Agriculture, Industry, Household",0.2600841861209324,10.0,741.3888000000001,100.397,76.7314440169201
Brazil,2023,688.2325,336.95875,39.915,21.9125,26.52125,1420.54625,1.82875,1,Moderate conservation policies,Water conservation policy level 1,6882.32,"Industry, Household",0.484484401687027,9.99999273501324,616.2133140625001,88.34875,64.18609225229977
Brazil,2024,417.18875,309.9975,55.47,18.35625,23.85875,1354.0525,2.8725,2,Moderate conservation policies,Water conservation policy level 2,4171.89,"Agriculture, Industry, Household",0.30810382167604283,10.000005992491408,890.46781875,97.685,90.04185299969505
Canada,2000,382.5146154,236.62,51.28615385,21.67461538,26.30923077,1423.098462,2.273846154,2,Moderate conservation policies,Water conservation policy level 2,3825.15,"Agriculture, Industry, Household",0.26878998580493163,10.000010054517775,538.03747695948,99.27,58.1432438493642
Canada,2001,336.8311111,360.4011111,49.65888889,29.44777778,24.85333333,1244.823333,2.134444444,2,Moderate conservation policies,Water conservation policy level 2,3368.31,"Agriculture, Industry, Household",0.2705854735934645,9.999996701611094,769.2561491988217,103.96,79.5897270172989
Canada,2002,523.434,315.01,56.214,27.199,24.177,1902.677,3.398,2,Moderate conservation policies,Water conservation policy level 2,5234.34,"Agriculture, Industry, Household",0.27510397193007535,10.0,1070.40398,107.59,107.29718945199365
Canada,2003,346.3242857,196.96,49.38857143,34.52285714,27.11428571,1343.852857,2.988571429,2,Moderate conservation policies,Water conservation policy level 2,3463.24,"Agriculture, Industry, Household",0.2577099746419633,9.999991750506336,588.62902865584,111.02571428,63.810270846627915
Canada,2004,397.045,363.612,50.919,35.19,20.717,1820.441,2.459,2,Moderate conservation policies,Water conservation policy level 2,3970.45,"Agriculture, Industry, Household",0.21810374519141243,10.0,894.1219080000001,106.826,91.19691015865378
Canada,2005,511.832,223.712,46.746,29.47,21.278,1606.15,3.928,2,Moderate conservation policies,Water conservation policy level 2,5118.32,"Agriculture, Industry, Household",0.3186701117579304,10.0,878.740736,97.494,88.95940055561435
Canada,2006,748.4233333,319.7166667,55.50333333,43.58333333,21.82666667,1202.826667,2.54,2,Moderate conservation policies,Water conservation policy level 2,7484.23,"Agriculture, Industry, Household",0.6222204361054459,9.999995546638043,812.080333418,120.91333333,85.05602417903343
Canada,2007,572.6066667,270.1277778,49.50666667,28.00555556,23.99555556,1688.984444,1.99,1,Moderate conservation policies,Water conservation policy level 1,5726.07,"Agriculture, Industry, Household",0.3390242395269805,10.000005820749553,537.554277822,101.50777779,58.21824917978901
Canada,2008,522.7742857,236.3428571,42.83857143,30.79285714,21.55285714,1010.11,3.74,2,Moderate conservation policies,Water conservation policy level 2,5227.74,"Agriculture, Industry, Household",0.5175419367197631,9.9999945349263,883.922285554,95.18428571,89.23860008147693
Canada,2009,361.4271429,220.7835714,45.11,27.53642857,25.85642857,1851.837143,2.993571429,2,Moderate conservation policies,Water conservation policy level 2,3614.27,"Agriculture, Industry, Household",0.1951722073759053,9.999996046229432,660.9313913356216,98.50285714,69.23906313076068
Canada,2010,532.35,218.36875,54.685,31.305,26.1275,1776.94125,3.1825,2,Moderate conservation policies,Water conservation policy level 2,5323.5,"Agriculture, Industry, Household",0.29958784512431125,10.0,694.958546875,112.1175,73.57960315637493
Canada,2011,538.9313333,333.4326667,57.00333333,25.74,25.19066667,1949.646667,2.631333333,2,Moderate conservation policies,Water conservation policy level 2,5389.31,"Agriculture, Industry, Household",0.276425129959202,9.999993815538653,877.3724901987893,107.934,89.78031550651266
Canada,2012,478.68375,264.65375,47.1725,30.0575,24.465,1403.48625,2.97625,2,Moderate conservation policies,Water conservation policy level 2,4786.84,"Agriculture, Industry, Household",0.34106764494486497,10.000005222654833,787.6757234375,101.69500000000001,81.06466979178686
Canada,2013,460.666,140.288,49.074,38.574,26.216,1733.832,2.532,2,Moderate conservation policies,Water conservation policy level 2,4606.66,"Agriculture, Industry, Household",0.26569240849171083,10.0,355.209216,113.864,42.84899167349925
Canada,2014,563.8890909,192.1927273,42.29727273,28.48363636,23.93454545,1622.126364,3.225454545,2,Moderate conservation policies,Water conservation policy level 2,5638.89,"Agriculture, Industry, Household",0.34762340555855736,9.999998387980872,619.9089057857306,94.71545454,65.17928080013968
Canada,2015,367.232,318.078,46.974,27.834,32.21,1586.67,4.114,2,Moderate conservation policies,Water conservation policy level 3,3672.32,"Agriculture, Industry, Household",0.23144825325997215,10.0,1308.572892,107.018,128.8929400230236
Canada,2016,568.3621053,255.0647368,46.92263158,23.71736842,24.36210526,1488.141579,2.496842105,2,Moderate conservation policies,Water conservation policy level 2,5683.62,"Agriculture, Industry, Household",0.38192744112554633,9.999998147307869,636.8563743429829,95.00210526000001,66.74913915542848
Canada,2017,386.1366667,181.9433333,52.955,34.02666667,27.52,2060.451667,2.68,2,Moderate conservation policies,Water conservation policy level 2,3861.37,"Agriculture, Industry, Household",0.18740389443942246,10.000008631658911,487.60813324400004,114.50166666999999,54.93606632900482
Canada,2018,563.8364286,301.8814286,50.54857143,27.85214286,23.12071429,1431.243571,2.653571429,2,Moderate conservation policies,Water conservation policy level 2,5638.36,"Agriculture, Industry, Household",0.39394861924588515,9.999992398504633,801.0639338786634,101.52142857999999,82.27090331452725
Canada,2019,545.6142857,330.0142857,55.50714286,26.14,22.36428571,1200.763571,3.002142857,2,Moderate conservation policies,Water conservation policy level 2,5456.14,"Agriculture, Industry, Household",0.4543894392512346,9.999994763700155,990.7500305222122,104.01142857,99.74694280330588
Canada,2020,445.1363636,315.7736364,46.30636364,27.50545455,25.50727273,1165.987273,2.376363636,2,Moderate conservation policies,Water conservation policy level 2,4451.36,"Agriculture, Industry, Household",0.3817677721770467,9.999991831716532,750.3929867484459,99.31909092,77.46313438013298
Canada,2021,597.2784615,277.4907692,51.01769231,29.44538462,26.06384615,1350.286154,2.098461538,2,Moderate conservation policies,Water conservation policy level 2,5972.78,"Agriculture, Industry, Household",0.44233473010936325,9.999992273285748,582.303706316235,106.52692308,62.84304088150581
Canada,2022,470.68,260.4033333,53.52111111,28.25,22.12,1277.861111,2.641111111,2,Moderate conservation policies,Water conservation policy level 2,4706.8,"Agriculture, Industry, Household",0.3683342391033919,10.0,687.7541369200662,103.89111111,72.18305293356087
Canada,2023,653.7088889,333.3888889,50.0,23.55333333,26.95222222,1161.61,2.785555556,2,Moderate conservation policies,Water conservation policy level 2,6537.09,"Agriculture, Industry, Household",0.5627610720465561,10.00000169953326,928.6732717840616,100.50555555,93.79467536353978
Canada,2024,476.976875,216.31125,57.044375,26.726875,26.4175,1312.939375,3.0,2,Moderate conservation policies,Water conservation policy level 2,4769.77,"Agriculture, Industry, Household",0.36328933695053517,10.000002620672124,648.93375,110.18875000000001,69.22596435621777
China,2000,681.0283333,304.215,59.855,29.28833333,31.20166667,1162.198333,2.95,2,Moderate conservation policies,Water conservation policy level 2,6810.28,"Agriculture, Industry, Household",0.5859828860208837,9.999995105930491,897.43425,120.345,92.76051698749444
China,2001,611.81,338.03125,49.53,27.50875,24.2175,2039.9125,2.94375,2,Moderate conservation policies,Water conservation policy level 2,6118.1,"Agriculture, Industry, Household",0.29991972694907254,10.000000000000002,995.0794921875,101.25625,99.87596926494989
China,2002,440.7053846,236.3661538,48.57923077,30.26307692,26.95692308,1538.954615,2.877692308,2,Moderate conservation policies,Water conservation policy level 2,4407.05,"Agriculture, Industry, Household",0.2863667195279829,9.999991273081442,680.189062661805,105.79923077,71.66138959404034
China,2003,560.2175,254.99,47.54375,30.1575,21.235,1030.6175,2.76875,2,Moderate conservation policies,Water conservation policy level 2,5602.17,"Agriculture, Industry, Household",0.5435746045453332,9.99999107489502,706.0035624999999,98.93625,73.40764020685823
China,2004,798.418,332.616,49.508,32.036,26.33,1494.778,2.802,2,Moderate conservation policies,Water conservation policy level 2,7984.18,"Agriculture, Industry, Household",0.534138179716319,10.0,931.9900319999999,107.87400000000001,94.76347001633785
China,2005,561.7107692,269.9892308,60.50538462,31.58615385,24.89307692,1564.781538,2.165384615,2,Moderate conservation policies,Water conservation policy level 2,5617.11,"Agriculture, Industry, Household",0.358970728858382,10.000004108876182,584.630526590004,116.98461539,63.99762270459589
China,2006,455.5545455,296.5945455,45.90090909,23.29,27.98454545,1801.888182,2.977272727,2,Moderate conservation policies,Water conservation policy level 2,4555.55,"Agriculture, Industry, Household",0.2528206522750811,10.00000997685139,883.0428512941105,97.17545453999999,89.31547594537776
China,2007,462.5009091,266.9436364,56.33090909,23.10636364,27.83636364,1444.176364,3.033636364,2,Moderate conservation policies,Water conservation policy level 2,4625.01,"Agriculture, Industry, Household",0.32025237403760753,10.000001965401543,809.809922521434,107.27363637,83.58214972663505
China,2008,558.4945455,299.8290909,47.24454545,24.14818182,21.31909091,1226.450909,3.698181818,2,Moderate conservation policies,Water conservation policy level 2,5584.95,"Agriculture, Industry, Household",0.45537456199969273,10.000008137948772,1108.8224924738493,92.71181818,109.45352677169592
China,2009,383.6785714,247.7771429,56.41428571,27.73285714,23.78857143,1109.032857,3.081428571,2,Moderate conservation policies,Water conservation policy level 2,3836.79,"Agriculture, Industry, Household",0.3459578036649639,10.0000111708089,763.5075673728098,107.93571428,79.43530473635143
