Country,Year,Policy,Investment (Million USD),Regulations
Brazil,2005,Water conservation policy level 2,5606.27,"['Agriculture', 'Industry', 'Household']"
Brazil,2006,Water conservation policy level 2,7813.43,"['Agriculture', 'Industry', 'Household']"
Brazil,2007,Water conservation policy level 2,6428.58,"['Agriculture', 'Industry', 'Household']"
Brazil,2008,Water conservation policy level 2,6655.02,"['Agriculture', 'Industry', 'Household']"
Brazil,2009,Water conservation policy level 2,4987.07,"['Agriculture', 'Industry', 'Household']"
Brazil,2010,Water conservation policy level 1,3370.37,"['Agriculture', 'Industry', 'Household']"
Brazil,2011,Water conservation policy level 2,4835.82,"['Agriculture', 'Industry', 'Household']"
Brazil,2012,Water conservation policy level 2,4690.25,"['Industry', 'Household']"
Brazil,2013,Water conservation policy level 2,5627.41,"['Agriculture', 'Industry', 'Household']"
Brazil,2014,Water conservation policy level 2,5591.12,"['Agriculture', 'Industry', 'Household']"
Brazil,2015,Water conservation policy level 1,5745.82,"['Agriculture', 'Industry', 'Household']"
Brazil,2016,Water conservation policy level 2,5017.92,"['Agriculture', 'Industry', 'Household']"
Brazil,2017,Water conservation policy level 2,5745.63,"['Agriculture', 'Industry', 'Household']"
Brazil,2018,Water conservation policy level 2,2871.57,"['Agriculture', 'Industry', 'Household']"
Brazil,2019,Water conservation policy level 2,4978.66,"['Agriculture', 'Industry', 'Household']"
Brazil,2020,Water conservation policy level 2,5530.54,"['Agriculture', 'Industry', 'Household']"
Brazil,2021,Water conservation policy level 2,4571.4,"['Agriculture', 'Industry', 'Household']"
Brazil,2022,Water conservation policy level 2,4177.48,"['Agriculture', 'Industry', 'Household']"
Brazil,2023,Water conservation policy level 1,6882.32,"['Industry', 'Household']"
Brazil,2024,Water conservation policy level 2,4171.89,"['Agriculture', 'Industry', 'Household']"
Canada,2000,Water conservation policy level 2,3825.15,"['Agriculture', 'Industry', 'Household']"
Canada,2001,Water conservation policy level 2,3368.31,"['Agriculture', 'Industry', 'Household']"
Canada,2002,Water conservation policy level 2,5234.34,"['Agriculture', 'Industry', 'Household']"
Canada,2003,Water conservation policy level 2,3463.24,"['Agriculture', 'Industry', 'Household']"
Canada,2004,Water conservation policy level 2,3970.45,"['Agriculture', 'Industry', 'Household']"
Canada,2005,Water conservation policy level 2,5118.32,"['Agriculture', 'Industry', 'Household']"
Canada,2006,Water conservation policy level 2,7484.23,"['Agriculture', 'Industry', 'Household']"
Canada,2007,Water conservation policy level 1,5726.07,"['Agriculture', 'Industry', 'Household']"
Canada,2008,Water conservation policy level 2,5227.74,"['Agriculture', 'Industry', 'Household']"
Canada,2009,Water conservation policy level 2,3614.27,"['Agriculture', 'Industry', 'Household']"
Canada,2010,Water conservation policy level 2,5323.5,"['Agriculture', 'Industry', 'Household']"
Canada,2011,Water conservation policy level 2,5389.31,"['Agriculture', 'Industry', 'Household']"
Canada,2012,Water conservation policy level 2,4786.84,"['Agriculture', 'Industry', 'Household']"
Canada,2013,Water conservation policy level 2,4606.66,"['Agriculture', 'Industry', 'Household']"
Canada,2014,Water conservation policy level 2,5638.89,"['Agriculture', 'Industry', 'Household']"
Canada,2015,Water conservation policy level 3,3672.32,"['Agriculture', 'Industry', 'Household']"
Canada,2016,Water conservation policy level 2,5683.62,"['Agriculture', 'Industry', 'Household']"
Canada,2017,Water conservation policy level 2,3861.37,"['Agriculture', 'Industry', 'Household']"
Canada,2018,Water conservation policy level 2,5638.36,"['Agriculture', 'Industry', 'Household']"
Canada,2019,Water conservation policy level 2,5456.14,"['Agriculture', 'Industry', 'Household']"
Canada,2020,Water conservation policy level 2,4451.36,"['Agriculture', 'Industry', 'Household']"
Canada,2021,Water conservation policy level 2,5972.78,"['Agriculture', 'Industry', 'Household']"
Canada,2022,Water conservation policy level 2,4706.8,"['Agriculture', 'Industry', 'Household']"
Canada,2023,Water conservation policy level 2,6537.09,"['Agriculture', 'Industry', 'Household']"
Canada,2024,Water conservation policy level 2,4769.77,"['Agriculture', 'Industry', 'Household']"
China,2000,Water conservation policy level 2,6810.28,"['Agriculture', 'Industry', 'Household']"
China,2001,Water conservation policy level 2,6118.1,"['Agriculture', 'Industry', 'Household']"
China,2002,Water conservation policy level 2,4407.05,"['Agriculture', 'Industry', 'Household']"
China,2003,Water conservation policy level 2,5602.17,"['Agriculture', 'Industry', 'Household']"
China,2004,Water conservation policy level 2,7984.18,"['Agriculture', 'Industry', 'Household']"
China,2005,Water conservation policy level 2,5617.11,"['Agriculture', 'Industry', 'Household']"
China,2006,Water conservation policy level 2,4555.55,"['Agriculture', 'Industry', 'Household']"
China,2007,Water conservation policy level 2,4625.01,"['Agriculture', 'Industry', 'Household']"
China,2008,Water conservation policy level 2,5584.95,"['Agriculture', 'Industry', 'Household']"
China,2009,Water conservation policy level 2,3836.79,"['Agriculture', 'Industry', 'Household']"
China,2010,Water conservation policy level 1,5576.53,"['Agriculture', 'Industry', 'Household']"
China,2011,Water conservation policy level 2,5788.9,"['Agriculture', 'Industry', 'Household']"
China,2012,Water conservation policy level 2,5426.23,"['Agriculture', 'Industry', 'Household']"
China,2013,Water conservation policy level 1,5435.7,"['Agriculture', 'Industry', 'Household']"
China,2014,Water conservation policy level 2,6243.16,"['Agriculture', 'Industry', 'Household']"
China,2015,Water conservation policy level 2,3474.68,"['Agriculture', 'Industry', 'Household']"
China,2016,Water conservation policy level 2,5242.09,"['Agriculture', 'Industry', 'Household']"
China,2017,Water conservation policy level 2,5251.93,"['Agriculture', 'Industry', 'Household']"
China,2018,Water conservation policy level 2,5101.58,"['Agriculture', 'Industry', 'Household']"
China,2019,Water conservation policy level 2,6079.22,"['Agriculture', 'Industry', 'Household']"
China,2020,Water conservation policy level 2,4154.81,"['Agriculture', 'Industry', 'Household']"
China,2021,Water conservation policy level 2,4361.33,"['Agriculture', 'Industry', 'Household']"
China,2022,Water conservation policy level 2,5285.47,"['Agriculture', 'Industry', 'Household']"
China,2023,Water conservation policy level 2,3699.89,"['Agriculture', 'Industry', 'Household']"
China,2024,Water conservation policy level 2,5073.25,"['Agriculture', 'Industry', 'Household']"
France,2000,Water conservation policy level 2,4889.34,"['Agriculture', 'Industry', 'Household']"
France,2001,Water conservation policy level 2,5214.98,"['Agriculture', 'Industry', 'Household']"
France,2002,Water conservation policy level 2,5598.59,"['Agriculture', 'Industry', 'Household']"
France,2003,Water conservation policy level 2,4967.46,"['Agriculture', 'Industry', 'Household']"
France,2004,Water conservation policy level 1,6399.19,"['Agriculture', 'Industry', 'Household']"
France,2005,Water conservation policy level 2,4680.18,"['Agriculture', 'Industry', 'Household']"
France,2006,Water conservation policy level 2,4793.64,"['Agriculture', 'Industry', 'Household']"
France,2007,Water conservation policy level 2,4443.49,"['Agriculture', 'Industry', 'Household']"
France,2008,Water conservation policy level 2,5812.05,"['Agriculture', 'Industry', 'Household']"
France,2009,Water conservation policy level 1,4437.32,"['Agriculture', 'Industry', 'Household']"
France,2010,Water conservation policy level 2,4823.27,"['Agriculture', 'Industry', 'Household']"
France,2011,Water conservation policy level 2,5916.59,"['Agriculture', 'Industry', 'Household']"
France,2012,Water conservation policy level 2,5749.87,"['Agriculture', 'Industry', 'Household']"
France,2013,Water conservation policy level 2,4654.57,"['Agriculture', 'Industry', 'Household']"
France,2014,Water conservation policy level 2,5952.47,"['Agriculture', 'Industry', 'Household']"
France,2015,Water conservation policy level 2,6063.28,"['Agriculture', 'Industry', 'Household']"
France,2016,Water conservation policy level 2,5919.14,"['Agriculture', 'Industry', 'Household']"
France,2017,Water conservation policy level 2,4629.6,"['Agriculture', 'Industry', 'Household']"
France,2018,Water conservation policy level 2,6342.69,"['Agriculture', 'Industry', 'Household']"
France,2019,Water conservation policy level 2,4268.73,"['Agriculture', 'Industry', 'Household']"
France,2020,Water conservation policy level 1,3500.44,"['Agriculture', 'Industry', 'Household']"
France,2021,Water conservation policy level 2,5642.75,"['Agriculture', 'Industry', 'Household']"
France,2022,Water conservation policy level 2,4742.74,"['Agriculture', 'Industry', 'Household']"
France,2023,Water conservation policy level 2,2806.04,"['Agriculture', 'Industry', 'Household']"
France,2024,Water conservation policy level 2,3712.73,"['Industry', 'Household']"
Germany,2000,Water conservation policy level 2,2152.24,"['Agriculture', 'Industry', 'Household']"
Germany,2001,Water conservation policy level 2,6464.29,"['Agriculture', 'Industry', 'Household']"
Germany,2002,Water conservation policy level 1,5691.54,"['Agriculture', 'Industry', 'Household']"
Germany,2003,Water conservation policy level 2,7279.87,"['Industry', 'Household']"
Germany,2004,Water conservation policy level 2,4364.25,"['Industry', 'Household']"
Germany,2005,Water conservation policy level 2,3569.52,"['Agriculture', 'Industry', 'Household']"
Germany,2006,Water conservation policy level 2,5194.7,"['Agriculture', 'Industry', 'Household']"
Germany,2007,Water conservation policy level 2,6033.77,"['Agriculture', 'Industry', 'Household']"
Germany,2008,Water conservation policy level 1,6257.87,"['Agriculture', 'Industry', 'Household']"
Germany,2009,Water conservation policy level 2,1296.37,"['Agriculture', 'Industry', 'Household']"
Germany,2010,Water conservation policy level 1,3224.9,"['Agriculture', 'Industry', 'Household']"
Germany,2011,Water conservation policy level 2,6133.22,"['Industry', 'Household']"
Germany,2012,Water conservation policy level 2,4961.75,"['Agriculture', 'Industry', 'Household']"
Germany,2013,Water conservation policy level 2,3735.2,"['Agriculture', 'Industry', 'Household']"
Germany,2014,Water conservation policy level 2,5313.72,"['Agriculture', 'Industry', 'Household']"
Germany,2015,Water conservation policy level 1,6604.8,"['Agriculture', 'Industry', 'Household']"
Germany,2016,Water conservation policy level 2,5285.62,"['Agriculture', 'Industry', 'Household']"
Germany,2017,Water conservation policy level 2,5488.31,"['Agriculture', 'Industry', 'Household']"
Germany,2018,Water conservation policy level 2,5141.88,"['Agriculture', 'Industry', 'Household']"
Germany,2019,Water conservation policy level 2,5311.41,"['Agriculture', 'Industry', 'Household']"
Germany,2020,Water conservation policy level 2,6489.57,"['Agriculture', 'Industry', 'Household']"
Germany,2021,Water conservation policy level 2,4257.87,"['Agriculture', 'Industry', 'Household']"
Germany,2022,Water conservation policy level 2,5280.98,"['Agriculture', 'Industry', 'Household']"
Germany,2023,Water conservation policy level 2,5640.22,"['Agriculture', 'Industry', 'Household']"
Germany,2024,Water conservation policy level 2,5512.03,"['Agriculture', 'Industry', 'Household']"
India,2000,Water conservation policy level 2,4223.93,"['Industry', 'Household']"
India,2001,Water conservation policy level 2,4787.56,"['Agriculture', 'Industry', 'Household']"
India,2002,Water conservation policy level 1,3447.38,"['Agriculture', 'Industry', 'Household']"
India,2003,Water conservation policy level 2,4551.04,"['Agriculture', 'Industry', 'Household']"
India,2004,Water conservation policy level 2,4509.4,"['Agriculture', 'Industry', 'Household']"
India,2005,Water conservation policy level 2,4793.32,"['Agriculture', 'Industry', 'Household']"
India,2006,Water conservation policy level 2,6037.16,"['Agriculture', 'Industry', 'Household']"
India,2007,Water conservation policy level 1,4381.34,"['Agriculture', 'Industry', 'Household']"
India,2008,Water conservation policy level 2,6298.13,"['Agriculture', 'Industry', 'Household']"
India,2009,Water conservation policy level 2,5581.45,"['Agriculture', 'Industry', 'Household']"
India,2010,Water conservation policy level 1,5255.21,"['Agriculture', 'Industry', 'Household']"
India,2011,Water conservation policy level 2,7151.67,"['Agriculture', 'Industry', 'Household']"
India,2012,Water conservation policy level 2,5980.82,"['Agriculture', 'Industry', 'Household']"
India,2013,Water conservation policy level 2,6230.14,"['Agriculture', 'Industry', 'Household']"
India,2014,Water conservation policy level 2,5004.38,"['Agriculture', 'Industry', 'Household']"
India,2015,Water conservation policy level 2,5511.21,"['Agriculture', 'Industry', 'Household']"
India,2016,Water conservation policy level 2,4255.26,"['Agriculture', 'Industry', 'Household']"
India,2017,Water conservation policy level 2,6284.94,"['Agriculture', 'Industry', 'Household']"
India,2018,Water conservation policy level 2,4074.21,"['Agriculture', 'Industry', 'Household']"
India,2019,Water conservation policy level 2,4278.26,"['Agriculture', 'Industry', 'Household']"
India,2020,Water conservation policy level 2,4463.56,"['Agriculture', 'Industry', 'Household']"
India,2021,Water conservation policy level 2,4426.99,"['Agriculture', 'Industry', 'Household']"
India,2022,Water conservation policy level 2,4978.88,"['Agriculture', 'Industry', 'Household']"
India,2023,Water conservation policy level 2,4512.88,"['Agriculture', 'Industry', 'Household']"
India,2024,Water conservation policy level 2,4797.51,"['Agriculture', 'Industry', 'Household']"
Indonesia,2000,Water conservation policy level 1,4234.45,"['Agriculture', 'Industry', 'Household']"
Indonesia,2001,Water conservation policy level 2,4241.81,"['Agriculture', 'Industry', 'Household']"
Indonesia,2002,Water conservation policy level 2,3356.53,"['Agriculture', 'Industry', 'Household']"
Indonesia,2003,Water conservation policy level 2,5005.68,"['Agriculture', 'Industry', 'Household']"
Indonesia,2004,Water conservation policy level 2,4948.59,"['Agriculture', 'Industry', 'Household']"
Indonesia,2005,Water conservation policy level 2,3406.31,"['Agriculture', 'Industry', 'Household']"
Indonesia,2006,Water conservation policy level 2,3617.12,"['Agriculture', 'Industry', 'Household']"
Indonesia,2007,Water conservation policy level 2,4375.9,"['Agriculture', 'Industry', 'Household']"
Indonesia,2008,Water conservation policy level 1,4970.17,"['Agriculture', 'Industry', 'Household']"
Indonesia,2009,Water conservation policy level 2,5263.72,"['Industry', 'Household']"
Indonesia,2010,Water conservation policy level 2,3940.85,"['Agriculture', 'Industry', 'Household']"
Indonesia,2011,Water conservation policy level 2,5130.7,"['Agriculture', 'Industry', 'Household']"
Indonesia,2012,Water conservation policy level 2,6123.84,"['Agriculture', 'Industry', 'Household']"
Indonesia,2013,Water conservation policy level 2,5242.05,"['Agriculture', 'Industry', 'Household']"
Indonesia,2014,Water conservation policy level 2,3987.27,"['Agriculture', 'Industry', 'Household']"
Indonesia,2015,Water conservation policy level 2,5016.76,"['Agriculture', 'Industry', 'Household']"
Indonesia,2016,Water conservation policy level 2,6486.13,"['Agriculture', 'Industry', 'Household']"
Indonesia,2017,Water conservation policy level 1,7196.83,"['Agriculture', 'Industry', 'Household']"
Indonesia,2018,Water conservation policy level 2,4397.09,"['Agriculture', 'Industry', 'Household']"
Indonesia,2019,Water conservation policy level 2,4130.07,"['Agriculture', 'Industry', 'Household']"
Indonesia,2020,Water conservation policy level 2,5585.99,"['Agriculture', 'Industry', 'Household']"
Indonesia,2021,Water conservation policy level 2,4638.87,"['Agriculture', 'Industry', 'Household']"
Indonesia,2022,Water conservation policy level 2,6225.44,"['Agriculture', 'Industry', 'Household']"
Indonesia,2023,Water conservation policy level 2,5592.05,"['Agriculture', 'Industry', 'Household']"
Indonesia,2024,Water conservation policy level 2,4398.46,"['Agriculture', 'Industry', 'Household']"
Italy,2000,Water conservation policy level 2,3651.18,"['Agriculture', 'Industry', 'Household']"
Italy,2001,Water conservation policy level 2,6682.78,"['Agriculture', 'Industry', 'Household']"
Italy,2002,Water conservation policy level 1,6136.31,"['Agriculture', 'Industry', 'Household']"
Italy,2003,Water conservation policy level 1,4467.49,"['Agriculture', 'Industry', 'Household']"
Italy,2004,Water conservation policy level 2,6047.34,"['Agriculture', 'Industry', 'Household']"
Italy,2005,Water conservation policy level 2,4829.13,"['Agriculture', 'Industry', 'Household']"
Italy,2006,Water conservation policy level 2,3836.05,"['Agriculture', 'Industry', 'Household']"
Italy,2007,Water conservation policy level 2,6463.18,"['Agriculture', 'Industry', 'Household']"
Italy,2008,Water conservation policy level 2,4768.44,"['Agriculture', 'Industry', 'Household']"
Italy,2009,Water conservation policy level 1,4177.09,"['Agriculture', 'Industry', 'Household']"
Italy,2010,Water conservation policy level 2,6316.25,"['Agriculture', 'Industry', 'Household']"
Italy,2011,Water conservation policy level 2,4820.22,"['Agriculture', 'Industry', 'Household']"
Italy,2012,Water conservation policy level 1,5741.43,"['Agriculture', 'Industry', 'Household']"
Italy,2013,Water conservation policy level 1,5499.06,"['Agriculture', 'Industry', 'Household']"
Italy,2014,Water conservation policy level 2,4534.77,"['Agriculture', 'Industry', 'Household']"
Italy,2015,Water conservation policy level 2,4930.14,"['Agriculture', 'Industry', 'Household']"
Italy,2016,Water conservation policy level 2,6022.1,"['Agriculture', 'Industry', 'Household']"
Italy,2017,Water conservation policy level 2,4336.27,"['Agriculture', 'Industry', 'Household']"
Italy,2018,Water conservation policy level 2,4880.13,"['Agriculture', 'Industry', 'Household']"
Italy,2019,Water conservation policy level 2,5861.85,"['Agriculture', 'Industry', 'Household']"
Italy,2020,Water conservation policy level 1,2994.34,"['Agriculture', 'Industry', 'Household']"
Italy,2021,Water conservation policy level 2,4179.85,"['Agriculture', 'Industry', 'Household']"
Italy,2022,Water conservation policy level 2,4739.64,"['Agriculture', 'Industry', 'Household']"
Italy,2023,Water conservation policy level 2,4384.24,"['Agriculture', 'Industry', 'Household']"
Italy,2024,Water conservation policy level 2,4197.01,"['Agriculture', 'Industry', 'Household']"
Japan,2000,Water conservation policy level 2,6052.57,"['Agriculture', 'Industry', 'Household']"
Japan,2001,Water conservation policy level 2,5494.27,"['Agriculture', 'Industry', 'Household']"
Japan,2002,Water conservation policy level 2,4990.58,"['Agriculture', 'Industry', 'Household']"
Japan,2003,Water conservation policy level 2,5603.56,"['Agriculture', 'Industry', 'Household']"
Japan,2004,Water conservation policy level 2,4375.05,"['Agriculture', 'Industry', 'Household']"
Japan,2005,Water conservation policy level 2,4560.6,"['Industry', 'Household']"
Japan,2006,Water conservation policy level 2,4632.4,"['Agriculture', 'Industry', 'Household']"
Japan,2007,Water conservation policy level 1,4027.14,"['Agriculture', 'Industry', 'Household']"
Japan,2008,Water conservation policy level 1,3929.17,"['Agriculture', 'Industry', 'Household']"
Japan,2009,Water conservation policy level 2,6106.5,"['Agriculture', 'Industry', 'Household']"
Japan,2010,Water conservation policy level 2,4416.04,"['Agriculture', 'Industry', 'Household']"
Japan,2011,Water conservation policy level 2,5597.0,"['Agriculture', 'Industry', 'Household']"
Japan,2012,Water conservation policy level 2,5263.75,"['Agriculture', 'Industry', 'Household']"
Japan,2013,Water conservation policy level 1,4761.54,"['Agriculture', 'Industry', 'Household']"
Japan,2014,Water conservation policy level 2,5365.09,"['Agriculture', 'Industry', 'Household']"
Japan,2015,Water conservation policy level 2,4105.64,"['Agriculture', 'Industry', 'Household']"
Japan,2016,Water conservation policy level 2,6158.71,"['Agriculture', 'Industry', 'Household']"
Japan,2017,Water conservation policy level 2,5760.42,"['Agriculture', 'Industry', 'Household']"
Japan,2018,Water conservation policy level 2,6643.88,"['Industry', 'Household']"
Japan,2019,Water conservation policy level 2,5828.72,"['Agriculture', 'Industry', 'Household']"
Japan,2020,Water conservation policy level 1,2118.17,"['Agriculture', 'Industry', 'Household']"
Japan,2021,Water conservation policy level 2,4233.77,"['Agriculture', 'Industry', 'Household']"
Japan,2022,Water conservation policy level 2,6151.54,"['Agriculture', 'Industry', 'Household']"
Japan,2023,Water conservation policy level 2,3456.94,"['Agriculture', 'Industry', 'Household']"
Japan,2024,Water conservation policy level 1,6223.77,"['Agriculture', 'Industry', 'Household']"
Mexico,2000,Water conservation policy level 2,5290.33,"['Agriculture', 'Industry', 'Household']"
Mexico,2001,Water conservation policy level 2,4717.71,"['Agriculture', 'Industry', 'Household']"
Mexico,2002,Water conservation policy level 2,2790.71,"['Agriculture', 'Industry', 'Household']"
Mexico,2003,Water conservation policy level 2,5040.66,"['Agriculture', 'Industry', 'Household']"
Mexico,2004,Water conservation policy level 2,5243.08,"['Agriculture', 'Industry', 'Household']"
Mexico,2005,Water conservation policy level 1,5110.57,"['Agriculture', 'Industry', 'Household']"
Mexico,2006,Water conservation policy level 2,4478.1,"['Agriculture', 'Industry', 'Household']"
Mexico,2007,Water conservation policy level 2,5272.19,"['Agriculture', 'Industry', 'Household']"
Mexico,2008,Water conservation policy level 2,4814.03,"['Agriculture', 'Industry', 'Household']"
Mexico,2009,Water conservation policy level 2,3904.12,"['Agriculture', 'Industry', 'Household']"
Mexico,2010,Water conservation policy level 2,3822.94,"['Agriculture', 'Industry', 'Household']"
Mexico,2011,Water conservation policy level 2,4952.06,"['Agriculture', 'Industry', 'Household']"
Mexico,2012,Water conservation policy level 3,5000.88,"['Agriculture', 'Industry', 'Household']"
Mexico,2013,Water conservation policy level 2,4035.38,"['Agriculture', 'Industry', 'Household']"
Mexico,2014,Water conservation policy level 2,5467.51,"['Agriculture', 'Industry', 'Household']"
Mexico,2015,Water conservation policy level 2,4701.98,"['Agriculture', 'Industry', 'Household']"
Mexico,2016,Water conservation policy level 2,3853.89,"['Agriculture', 'Industry', 'Household']"
Mexico,2017,Water conservation policy level 2,5271.43,"['Agriculture', 'Industry', 'Household']"
Mexico,2018,Water conservation policy level 2,6546.23,"['Agriculture', 'Industry', 'Household']"
Mexico,2019,Water conservation policy level 2,4800.16,"['Agriculture', 'Industry', 'Household']"
Mexico,2020,Water conservation policy level 2,5589.77,"['Agriculture', 'Industry', 'Household']"
Mexico,2021,Water conservation policy level 2,5333.41,"['Agriculture', 'Industry', 'Household']"
Mexico,2022,Water conservation policy level 2,4976.98,"['Agriculture', 'Industry', 'Household']"
Mexico,2023,Water conservation policy level 2,5040.63,"['Agriculture', 'Industry', 'Household']"
Mexico,2024,Water conservation policy level 2,4525.79,"['Agriculture', 'Industry', 'Household']"
Russia,2000,Water conservation policy level 2,5449.99,"['Agriculture', 'Industry', 'Household']"
Russia,2001,Water conservation policy level 2,6292.13,"['Agriculture', 'Industry', 'Household']"
Russia,2002,Water conservation policy level 2,4871.86,"['Agriculture', 'Industry', 'Household']"
Russia,2003,Water conservation policy level 2,5623.41,"['Agriculture', 'Industry', 'Household']"
Russia,2004,Water conservation policy level 2,5551.5,"['Agriculture', 'Industry', 'Household']"
Russia,2005,Water conservation policy level 2,4279.84,"['Agriculture', 'Industry', 'Household']"
Russia,2006,Water conservation policy level 2,6140.4,"['Agriculture', 'Industry', 'Household']"
Russia,2007,Water conservation policy level 2,5526.41,"['Agriculture', 'Industry', 'Household']"
Russia,2008,Water conservation policy level 1,6083.67,"['Agriculture', 'Industry', 'Household']"
Russia,2009,Water conservation policy level 2,4726.7,"['Agriculture', 'Industry', 'Household']"
Russia,2010,Water conservation policy level 2,3754.8,"['Agriculture', 'Industry', 'Household']"
Russia,2011,Water conservation policy level 2,4584.71,"['Agriculture', 'Industry', 'Household']"
Russia,2012,Water conservation policy level 2,5428.11,"['Agriculture', 'Industry', 'Household']"
Russia,2013,Water conservation policy level 2,4380.29,"['Agriculture', 'Industry', 'Household']"
Russia,2014,Water conservation policy level 2,6126.4,"['Agriculture', 'Industry', 'Household']"
Russia,2015,Water conservation policy level 2,4775.32,"['Agriculture', 'Industry', 'Household']"
Russia,2016,Water conservation policy level 1,4605.15,"['Agriculture', 'Industry', 'Household']"
Russia,2017,Water conservation policy level 2,3823.33,"['Agriculture', 'Industry', 'Household']"
Russia,2018,Water conservation policy level 2,4907.21,"['Agriculture', 'Industry', 'Household']"
