Country,Year,Policy,Investment (Million USD),Regulations
France,2001,2.0,5214.98,"['Agriculture', 'Industry', 'Household']"
France,2002,2.0,5598.59,"['Agriculture', 'Industry', 'Household']"
France,2003,2.0,4967.46,"['Agriculture', 'Industry', 'Household']"
France,2004,1.0,6399.19,"['Agriculture', 'Industry', 'Household']"
France,2005,2.0,4680.18,"['Agriculture', 'Industry', 'Household']"
France,2006,2.0,4793.64,"['Agriculture', 'Industry', 'Household']"
France,2007,2.0,4443.49,"['Agriculture', 'Industry', 'Household']"
France,2008,2.0,5812.05,"['Agriculture', 'Industry', 'Household']"
France,2009,1.0,4437.32,"['Agriculture', 'Industry', 'Household']"
France,2010,2.0,4823.27,"['Agriculture', 'Industry', 'Household']"
France,2011,2.0,5916.59,"['Agriculture', 'Industry', 'Household']"
France,2012,2.0,5749.87,"['Agriculture', 'Industry', 'Household']"
France,2013,2.0,4654.57,"['Agriculture', 'Industry', 'Household']"
France,2014,2.0,5952.47,"['Agriculture', 'Industry', 'Household']"
France,2015,2.0,6063.28,"['Agriculture', 'Industry', 'Household']"
France,2016,2.0,5919.14,"['Agriculture', 'Industry', 'Household']"
France,2017,2.0,4629.6,"['Agriculture', 'Industry', 'Household']"
France,2018,2.0,6342.69,"['Agriculture', 'Industry', 'Household']"
France,2019,2.0,4268.73,"['Agriculture', 'Industry', 'Household']"
France,2020,1.0,3500.44,"['Agriculture', 'Industry', 'Household']"
France,2021,2.0,5642.75,"['Agriculture', 'Industry', 'Household']"
France,2022,2.0,4742.74,"['Agriculture', 'Industry', 'Household']"
France,2023,2.0,2806.04,"['Agriculture', 'Industry', 'Household']"
France,2024,2.0,3712.73,"['Industry', 'Household']"
Germany,2000,2.0,2152.24,"['Agriculture', 'Industry', 'Household']"
Germany,2001,2.0,6464.29,"['Agriculture', 'Industry', 'Household']"
Germany,2002,1.0,5691.54,"['Agriculture', 'Industry', 'Household']"
Germany,2003,2.0,7279.87,"['Industry', 'Household']"
Germany,2004,2.0,4364.25,"['Industry', 'Household']"
Germany,2005,2.0,3569.52,"['Agriculture', 'Industry', 'Household']"
Germany,2006,2.0,5194.7,"['Agriculture', 'Industry', 'Household']"
Germany,2007,2.0,6033.77,"['Agriculture', 'Industry', 'Household']"
Germany,2008,1.0,6257.87,"['Agriculture', 'Industry', 'Household']"
Germany,2009,2.0,1296.37,"['Agriculture', 'Industry', 'Household']"
Germany,2010,1.0,3224.9,"['Agriculture', 'Industry', 'Household']"
Germany,2011,2.0,6133.22,"['Industry', 'Household']"
Germany,2012,2.0,4961.75,"['Agriculture', 'Industry', 'Household']"
Germany,2013,2.0,3735.2,"['Agriculture', 'Industry', 'Household']"
Germany,2014,2.0,5313.72,"['Agriculture', 'Industry', 'Household']"
Germany,2015,1.0,6604.8,"['Agriculture', 'Industry', 'Household']"
Germany,2016,2.0,5285.62,"['Agriculture', 'Industry', 'Household']"
Germany,2017,2.0,5488.31,"['Agriculture', 'Industry', 'Household']"
Germany,2018,2.0,5141.88,"['Agriculture', 'Industry', 'Household']"
Germany,2019,2.0,5311.41,"['Agriculture', 'Industry', 'Household']"
Germany,2020,2.0,6489.57,"['Agriculture', 'Industry', 'Household']"
Germany,2021,2.0,4257.87,"['Agriculture', 'Industry', 'Household']"
Germany,2022,2.0,5280.98,"['Agriculture', 'Industry', 'Household']"
Germany,2023,2.0,5640.22,"['Agriculture', 'Industry', 'Household']"
Germany,2024,2.0,5512.03,"['Agriculture', 'Industry', 'Household']"
India,2000,2.0,4223.93,"['Industry', 'Household']"
India,2001,2.0,4787.56,"['Agriculture', 'Industry', 'Household']"
India,2002,1.0,3447.38,"['Agriculture', 'Industry', 'Household']"
India,2003,2.0,4551.04,"['Agriculture', 'Industry', 'Household']"
India,2004,2.0,4509.4,"['Agriculture', 'Industry', 'Household']"
India,2005,2.0,4793.32,"['Agriculture', 'Industry', 'Household']"
India,2006,2.0,6037.16,"['Agriculture', 'Industry', 'Household']"
India,2007,1.0,4381.34,"['Agriculture', 'Industry', 'Household']"
India,2008,2.0,6298.13,"['Agriculture', 'Industry', 'Household']"
India,2009,2.0,5581.45,"['Agriculture', 'Industry', 'Household']"
India,2010,1.0,5255.21,"['Agriculture', 'Industry', 'Household']"
India,2011,2.0,7151.67,"['Agriculture', 'Industry', 'Household']"
India,2012,2.0,5980.82,"['Agriculture', 'Industry', 'Household']"
India,2013,2.0,6230.14,"['Agriculture', 'Industry', 'Household']"
India,2014,2.0,5004.38,"['Agriculture', 'Industry', 'Household']"
India,2015,2.0,5511.21,"['Agriculture', 'Industry', 'Household']"
India,2016,2.0,4255.26,"['Agriculture', 'Industry', 'Household']"
India,2017,2.0,6284.94,"['Agriculture', 'Industry', 'Household']"
India,2018,2.0,4074.21,"['Agriculture', 'Industry', 'Household']"
India,2019,2.0,4278.26,"['Agriculture', 'Industry', 'Household']"
India,2020,2.0,4463.56,"['Agriculture', 'Industry', 'Household']"
India,2021,2.0,4426.99,"['Agriculture', 'Industry', 'Household']"
India,2022,2.0,4978.88,"['Agriculture', 'Industry', 'Household']"
India,2023,2.0,4512.88,"['Agriculture', 'Industry', 'Household']"
India,2024,2.0,4797.51,"['Agriculture', 'Industry', 'Household']"
Indonesia,2000,1.0,4234.45,"['Agriculture', 'Industry', 'Household']"
Indonesia,2001,2.0,4241.81,"['Agriculture', 'Industry', 'Household']"
Indonesia,2002,2.0,3356.53,"['Agriculture', 'Industry', 'Household']"
Indonesia,2003,2.0,5005.68,"['Agriculture', 'Industry', 'Household']"
Indonesia,2004,2.0,4948.59,"['Agriculture', 'Industry', 'Household']"
Indonesia,2005,2.0,3406.31,"['Agriculture', 'Industry', 'Household']"
Indonesia,2006,2.0,3617.12,"['Agriculture', 'Industry', 'Household']"
Indonesia,2007,2.0,4375.9,"['Agriculture', 'Industry', 'Household']"
Indonesia,2008,1.0,4970.17,"['Agriculture', 'Industry', 'Household']"
Indonesia,2009,2.0,5263.72,"['Industry', 'Household']"
Indonesia,2010,2.0,3940.85,"['Agriculture', 'Industry', 'Household']"
Indonesia,2011,2.0,5130.7,"['Agriculture', 'Industry', 'Household']"
Indonesia,2012,2.0,6123.84,"['Agriculture', 'Industry', 'Household']"
Indonesia,2013,2.0,5242.05,"['Agriculture', 'Industry', 'Household']"
Indonesia,2014,2.0,3987.27,"['Agriculture', 'Industry', 'Household']"
Indonesia,2015,2.0,5016.76,"['Agriculture', 'Industry', 'Household']"
Indonesia,2016,2.0,6486.13,"['Agriculture', 'Industry', 'Household']"
Indonesia,2017,1.0,7196.83,"['Agriculture', 'Industry', 'Household']"
Indonesia,2018,2.0,4397.09,"['Agriculture', 'Industry', 'Household']"
Indonesia,2019,2.0,4130.07,"['Agriculture', 'Industry', 'Household']"
Indonesia,2020,2.0,5585.99,"['Agriculture', 'Industry', 'Household']"
Indonesia,2021,2.0,4638.87,"['Agriculture', 'Industry', 'Household']"
Indonesia,2022,2.0,6225.44,"['Agriculture', 'Industry', 'Household']"
Indonesia,2023,2.0,5592.05,"['Agriculture', 'Industry', 'Household']"
Indonesia,2024,2.0,4398.46,"['Agriculture', 'Industry', 'Household']"
Italy,2000,2.0,3651.18,"['Agriculture', 'Industry', 'Household']"
Italy,2001,2.0,6682.78,"['Agriculture', 'Industry', 'Household']"
Italy,2002,1.0,6136.31,"['Agriculture', 'Industry', 'Household']"
Italy,2003,1.0,4467.49,"['Agriculture', 'Industry', 'Household']"
Italy,2004,2.0,6047.34,"['Agriculture', 'Industry', 'Household']"
Italy,2005,2.0,4829.13,"['Agriculture', 'Industry', 'Household']"
Italy,2006,2.0,3836.05,"['Agriculture', 'Industry', 'Household']"
Italy,2007,2.0,6463.18,"['Agriculture', 'Industry', 'Household']"
Italy,2008,2.0,4768.44,"['Agriculture', 'Industry', 'Household']"
Italy,2009,1.0,4177.09,"['Agriculture', 'Industry', 'Household']"
Italy,2010,2.0,6316.25,"['Agriculture', 'Industry', 'Household']"
Italy,2011,2.0,4820.22,"['Agriculture', 'Industry', 'Household']"
Italy,2012,1.0,5741.43,"['Agriculture', 'Industry', 'Household']"
Italy,2013,1.0,5499.06,"['Agriculture', 'Industry', 'Household']"
Italy,2014,2.0,4534.77,"['Agriculture', 'Industry', 'Household']"
Italy,2015,2.0,4930.14,"['Agriculture', 'Industry', 'Household']"
Italy,2016,2.0,6022.1,"['Agriculture', 'Industry', 'Household']"
Italy,2017,2.0,4336.27,"['Agriculture', 'Industry', 'Household']"
Italy,2018,2.0,4880.13,"['Agriculture', 'Industry', 'Household']"
Italy,2019,2.0,5861.85,"['Agriculture', 'Industry', 'Household']"
Italy,2020,1.0,2994.34,"['Agriculture', 'Industry', 'Household']"
Italy,2021,2.0,4179.85,"['Agriculture', 'Industry', 'Household']"
Italy,2022,2.0,4739.64,"['Agriculture', 'Industry', 'Household']"
Italy,2023,2.0,4384.24,"['Agriculture', 'Industry', 'Household']"
Italy,2024,2.0,4197.01,"['Agriculture', 'Industry', 'Household']"
Japan,2000,2.0,6052.57,"['Agriculture', 'Industry', 'Household']"
Japan,2001,2.0,5494.27,"['Agriculture', 'Industry', 'Household']"
Japan,2002,2.0,4990.58,"['Agriculture', 'Industry', 'Household']"
Japan,2003,2.0,5603.56,"['Agriculture', 'Industry', 'Household']"
Japan,2004,2.0,4375.05,"['Agriculture', 'Industry', 'Household']"
Japan,2005,2.0,4560.6,"['Industry', 'Household']"
Japan,2006,2.0,4632.4,"['Agriculture', 'Industry', 'Household']"
Japan,2007,1.0,4027.14,"['Agriculture', 'Industry', 'Household']"
Japan,2008,1.0,3929.17,"['Agriculture', 'Industry', 'Household']"
Japan,2009,2.0,6106.5,"['Agriculture', 'Industry', 'Household']"
Japan,2010,2.0,4416.04,"['Agriculture', 'Industry', 'Household']"
Japan,2011,2.0,5597.0,"['Agriculture', 'Industry', 'Household']"
Japan,2012,2.0,5263.75,"['Agriculture', 'Industry', 'Household']"
Japan,2013,1.0,4761.54,"['Agriculture', 'Industry', 'Household']"
Japan,2014,2.0,5365.09,"['Agriculture', 'Industry', 'Household']"
Japan,2015,2.0,4105.64,"['Agriculture', 'Industry', 'Household']"
Japan,2016,2.0,6158.71,"['Agriculture', 'Industry', 'Household']"
Japan,2017,2.0,5760.42,"['Agriculture', 'Industry', 'Household']"
Japan,2018,2.0,6643.88,"['Industry', 'Household']"
Japan,2019,2.0,5828.72,"['Agriculture', 'Industry', 'Household']"
Japan,2020,1.0,2118.17,"['Agriculture', 'Industry', 'Household']"
Japan,2021,2.0,4233.77,"['Agriculture', 'Industry', 'Household']"
Japan,2022,2.0,6151.54,"['Agriculture', 'Industry', 'Household']"
Japan,2023,2.0,3456.94,"['Agriculture', 'Industry', 'Household']"
Japan,2024,1.0,6223.77,"['Agriculture', 'Industry', 'Household']"
Mexico,2000,2.0,5290.33,"['Agriculture', 'Industry', 'Household']"
Mexico,2001,2.0,4717.71,"['Agriculture', 'Industry', 'Household']"
Mexico,2002,2.0,2790.71,"['Agriculture', 'Industry', 'Household']"
Mexico,2003,2.0,5040.66,"['Agriculture', 'Industry', 'Household']"
Mexico,2004,2.0,5243.08,"['Agriculture', 'Industry', 'Household']"
Mexico,2005,1.0,5110.57,"['Agriculture', 'Industry', 'Household']"
Mexico,2006,2.0,4478.1,"['Agriculture', 'Industry', 'Household']"
Mexico,2007,2.0,5272.19,"['Agriculture', 'Industry', 'Household']"
Mexico,2008,2.0,4814.03,"['Agriculture', 'Industry', 'Household']"
Mexico,2009,2.0,3904.12,"['Agriculture', 'Industry', 'Household']"
Mexico,2010,2.0,3822.94,"['Agriculture', 'Industry', 'Household']"
Mexico,2011,2.0,4952.06,"['Agriculture', 'Industry', 'Household']"
Mexico,2012,No Policy,5000.88,"['Agriculture', 'Industry', 'Household']"
Mexico,2013,2.0,4035.38,"['Agriculture', 'Industry', 'Household']"
Mexico,2014,2.0,5467.51,"['Agriculture', 'Industry', 'Household']"
Mexico,2015,2.0,4701.98,"['Agriculture', 'Industry', 'Household']"
Mexico,2016,2.0,3853.89,"['Agriculture', 'Industry', 'Household']"
Mexico,2017,2.0,5271.43,"['Agriculture', 'Industry', 'Household']"
Mexico,2018,2.0,6546.23,"['Agriculture', 'Industry', 'Household']"
Mexico,2019,2.0,4800.16,"['Agriculture', 'Industry', 'Household']"
Mexico,2020,2.0,5589.77,"['Agriculture', 'Industry', 'Household']"
Mexico,2021,2.0,5333.41,"['Agriculture', 'Industry', 'Household']"
Mexico,2022,2.0,4976.98,"['Agriculture', 'Industry', 'Household']"
Mexico,2023,2.0,5040.63,"['Agriculture', 'Industry', 'Household']"
Mexico,2024,2.0,4525.79,"['Agriculture', 'Industry', 'Household']"
Russia,2000,2.0,5449.99,"['Agriculture', 'Industry', 'Household']"
Russia,2001,2.0,6292.13,"['Agriculture', 'Industry', 'Household']"
Russia,2002,2.0,4871.86,"['Agriculture', 'Industry', 'Household']"
Russia,2003,2.0,5623.41,"['Agriculture', 'Industry', 'Household']"
Russia,2004,2.0,5551.5,"['Agriculture', 'Industry', 'Household']"
Russia,2005,2.0,4279.84,"['Agriculture', 'Industry', 'Household']"
Russia,2006,2.0,6140.4,"['Agriculture', 'Industry', 'Household']"
Russia,2007,2.0,5526.41,"['Agriculture', 'Industry', 'Household']"
Russia,2008,1.0,6083.67,"['Agriculture', 'Industry', 'Household']"
Russia,2009,2.0,4726.7,"['Agriculture', 'Industry', 'Household']"
Russia,2010,2.0,3754.8,"['Agriculture', 'Industry', 'Household']"
Russia,2011,2.0,4584.71,"['Agriculture', 'Industry', 'Household']"
Russia,2012,2.0,5428.11,"['Agriculture', 'Industry', 'Household']"
Russia,2013,2.0,4380.29,"['Agriculture', 'Industry', 'Household']"
Russia,2014,2.0,6126.4,"['Agriculture', 'Industry', 'Household']"
Russia,2015,2.0,4775.32,"['Agriculture', 'Industry', 'Household']"
Russia,2016,1.0,4605.15,"['Agriculture', 'Industry', 'Household']"
Russia,2017,2.0,3823.33,"['Agriculture', 'Industry', 'Household']"
Russia,2018,2.0,4907.21,"['Agriculture', 'Industry', 'Household']"
Russia,2019,2.0,3538.0,"['Agriculture', 'Industry', 'Household']"
Russia,2020,1.0,5204.75,"['Agriculture', 'Industry', 'Household']"
Russia,2021,2.0,3735.91,"['Agriculture', 'Industry', 'Household']"
Russia,2022,2.0,4624.53,"['Agriculture', 'Industry', 'Household']"
Russia,2023,2.0,4817.19,"['Agriculture', 'Industry', 'Household']"
Russia,2024,2.0,5003.65,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2000,2.0,5641.4,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2001,2.0,5134.09,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2002,2.0,4177.51,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2003,2.0,4125.48,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2004,2.0,5815.48,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2005,2.0,5598.66,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2006,2.0,5223.8,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2007,1.0,5379.62,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2008,2.0,5834.1,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2009,2.0,5518.96,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2010,2.0,5727.58,"['Industry', 'Household']"
Saudi Arabia,2011,1.0,5044.67,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2012,2.0,5847.36,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2013,2.0,4349.01,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2014,2.0,5383.66,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2015,2.0,5662.39,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2016,2.0,3499.29,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2017,2.0,6163.83,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2018,2.0,4451.07,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2019,2.0,3550.57,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2020,2.0,5380.7,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2021,2.0,4684.48,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2022,2.0,5864.78,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2023,2.0,6049.8,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2024,2.0,5552.49,"['Industry', 'Household']"
South Africa,2000,2.0,5648.96,"['Agriculture', 'Industry', 'Household']"
South Africa,2001,2.0,4838.18,"['Agriculture', 'Industry', 'Household']"
South Africa,2002,2.0,5525.67,"['Agriculture', 'Industry', 'Household']"
South Africa,2003,2.0,4382.54,"['Agriculture', 'Industry', 'Household']"
South Africa,2004,2.0,6469.52,"['Agriculture', 'Industry', 'Household']"
South Africa,2005,2.0,4297.35,"['Agriculture', 'Industry', 'Household']"
South Africa,2006,2.0,4484.66,"['Agriculture', 'Industry', 'Household']"
South Africa,2007,2.0,5028.68,"['Agriculture', 'Industry', 'Household']"
South Africa,2008,2.0,6205.03,"['Agriculture', 'Industry', 'Household']"
South Africa,2009,2.0,4205.49,"['Agriculture', 'Industry', 'Household']"
South Africa,2010,2.0,4880.43,"['Agriculture', 'Industry', 'Household']"
South Africa,2011,1.0,3724.61,"['Agriculture', 'Industry', 'Household']"
South Africa,2012,2.0,4279.31,"['Agriculture', 'Industry', 'Household']"
South Africa,2013,2.0,6619.17,"['Agriculture', 'Industry', 'Household']"
South Africa,2014,2.0,5145.02,"['Agriculture', 'Industry', 'Household']"
South Africa,2015,2.0,5247.8,"['Agriculture', 'Industry', 'Household']"
South Africa,2016,2.0,5574.92,"['Agriculture', 'Industry', 'Household']"
South Africa,2017,2.0,5651.66,"['Agriculture', 'Industry', 'Household']"
South Africa,2018,2.0,5452.21,"['Agriculture', 'Industry', 'Household']"
South Africa,2019,2.0,4139.89,"['Agriculture', 'Industry', 'Household']"
South Africa,2020,2.0,4671.55,"['Industry', 'Household']"
South Africa,2021,2.0,4062.18,"['Agriculture', 'Industry', 'Household']"
South Africa,2022,2.0,4427.41,"['Agriculture', 'Industry', 'Household']"
South Africa,2023,2.0,5389.69,"['Agriculture', 'Industry', 'Household']"
South Africa,2024,2.0,5097.36,"['Agriculture', 'Industry', 'Household']"
South Korea,2000,2.0,4478.76,"['Agriculture', 'Industry', 'Household']"
